Subclass	Order	Species	BMR (mlO2/hour)	Body mass for BMR (gr)	Reference for BMR	FMR (kJ/day)	Body mass for FMR (gr)	Reference for FMR
Eutheria	Chiroptera	Nyctimene albiventer	27.3	30.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Nyctimene cyclotis	64.6	40.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Nyctimene major	20.4	13.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Nyctophilus geoffroyi	11.2	8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Paranyctimene raptor	24.5	23.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Peropteryx macrotis	11.55	5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Phyllostomus discolor	47.905	33.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Phyllostomus elongatus	47.9	35.6	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Phyllostomus hastatus	100.198	84.2	White et al06BiolLett	146	80.8	Nagy et al99
Eutheria	Chiroptera	Pipistrellus pipistrellus	-9999	-9999	-9999	29.3	7.3	Nagy et al99
Eutheria	Chiroptera	Platyrrhinus lineatus	44.895	21.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Plecotus auritus	11.2	10.25	White&Seymour03PNAS	27.6	8.5	Nagy et al99
Eutheria	Chiroptera	Pteronotus davyi	15.322	9.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteronotus parnellii	30.72	19.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteronotus personatus	22.96	14	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteronotus quadridens	6.125	4.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus giganteus	290.7	562.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus hypomelanus	290.1	520.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus poliocephalus	316.9	598	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus pumilus	126.4	194.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus rodricensis	134.9	254.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus scapulatus	242.54	362	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus vampyrus	804.1	1024.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Rhinonycteris aurantinus (Rhinonicteris aurantia)	16.209	8.27	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Rhinophylla fischerae	44.9	9.5	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Rhinophylla pumilio	18.62	9.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Rousettus aegyptiacus	122.6	146	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Rousettus amplexicaudatus	104.3	91.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Sturnira lilium	53.217	21.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Sturnira tildae	18.6	20.5	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Syconycteris australis	21.85	15.9	White et al06BiolLett	76.9	17.4	Geiser & Coburn99
Eutheria	Chiroptera	Tadarida brasiliensis	20.28	16.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Tonatia bidens	55.074	27.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Uroderma bilobatum	31.59	16.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Vampyressa pusilla	31.6	8.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera 	Anoura caudifera	42.67	11.5	White et al06BiolLett	51.9	11.5	Nagy et al99
Eutheria	Chiroptera 	Artibeus fimbriatus	42.7	63.9	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera 	Artibeus jamaicensis	76.84	45.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera 	Artibeus lituratus	107.954	70.1	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera 	Carollia brevicauda	-9999	-9999	-9999	50	18.2	Voigt et al 2006
Eutheria	Chiroptera 	Carollia perspicillata	43.061	14.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera 	Chiroderma doriae	43.1	19.9	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera 	Chrotopterus auritus	141.267	96.1	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera 	Saccopteryx bilineata	14.51	7.8	White et al06BiolLett	16.2	7.9	Anderson & Jetz 2005
Eutheria	Hyracoidea	Dendrohyrax dorsalis	751	2210	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Hyracoidea	Heterohyrax brucei	720	2000	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Hyracoidea	Procavia capensis	660	2400	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lagomorpha	Lepus alleni	1650	3000	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Lepus americanus	1518	1581	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Lepus arcticus	1082	3004.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Lepus californicus	1311	2300	White&Seymour03PNAS	1300	1800	Nagy et al99
Eutheria	Lagomorpha	Lepus timidus	2118	3025	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Lepus townsendii	1264	2430	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Ochotona dauurica	249	127.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Ochotona princeps	167	109	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Oryctolagus cuniculus	1140	2000	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Sylvilagus audubonii	438	672.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Atelerix albiventris	148.5	450	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Blarina brevicauda	65.6	20.5	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Blarina carolinensis	33.7	10.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Condylura cristata	110.25	49	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura crossei	22.4	10.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura flavescens	44.5	33.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura hildegardeae	26	10	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura leucodon	29.8	11.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura luna	24.8	11.8	White&Seymour03PNAS	-9999	-9999	-9999
